"id","level","prompt","correct","distractor1","distractor2","distractor3"
"politics-l4-473","4","Hvilket år ble Kina grunnlagt som Folkerepublikken Kina?","1949","1948","1950","1947"
"politics-l4-474","4","Hva heter det norske parlamentets øverste organ?","Stortingspresident","Statsminister","Kongelig Råd","Fylkesmann"
"politics-l4-475","4","I hvilket år kollapset Sovjetunionen?","1991","1990","1992","1989"
"politics-l4-476","4","Hvor mange dager varer vanligvis en norsk valgkamp?","Cirka 2 måneder","Cirka 1 måned","Cirka 3 måneder","Cirka 6 måneder"
"politics-l4-477","4","Hvilket år ble Apartheid opphevet i Sør-Afrika?","1994","1992","1993","1995"
"politics-l4-478","4","Hva heter det indiske parlamentet?","Lok Sabha og Rajya Sabha","Dewan og Parisad","Rashtriya Sabah","Vidhan Sabha"
"politics-l4-479","4","Hvor mange medlemmer er det normalt i Norges regjering eksklusiv statsministeren?","18 medlemmer","17 medlemmer","19 medlemmer","20 medlemmer"
"politics-l4-480","4","Hvilket år ble menneskerettighetsdomstolen (EMD) grunnlagt?","1959","1958","1960","1961"
"politics-l4-481","4","Hva heter det britiske underhuset?","House of Commons","House of Lords","Parliament Hall","Commons Assembly"
"politics-l4-482","4","I hvilket år ble Venstrepolitikken formelt grunnlagt som parti i Norge?","1884","1882","1885","1883"
"politics-l4-483","4","Hvor mange medlemmer har Kinas nasjonale folkekongress omtrent?","2976 medlemmer","2000 medlemmer","3500 medlemmer","2500 medlemmer"
"politics-l4-484","4","Hvilket år ble Røde Kors grunnlagt?","1863","1861","1865","1862"
"politics-l4-485","4","Hvilken år ble Norges første grunnlov vedtatt?","1814","1809","1820","1825"
"politics-l4-486","4","Hvem var Norges første statsminister etter unionens oppløsning?","Christian Michelsen","Gunnar Knudsen","Fridtjov Nansen","Johan Sverdrup"
"politics-l4-487","4","I hvilket år oppløstes unionen mellom Norge og Sverige?","1905","1900","1910","1898"
"politics-l4-488","4","Hvilken dansk-norsk konge regjerte da Norge ble knyttet til Sverige i 1814?","Frederik VI","Christian VII","Frederik VII","Christian VIII"
"politics-l4-489","4","Hvem var den franske revolusjonsleder som påvirket tanken om demokrati i Europa på 1700-tallet?","Robespierre","Bonaparte","Danton","Marat"
"politics-l4-490","4","Hvilken århundre kalles ofte 'Opplysningstiden' i Europa?","1700-tallet","1600-tallet","1800-tallet","1500-tallet"
"politics-l4-491","4","Hvilken britisk statsmann var statsminister under Første verdenskrig?","David Lloyd George","Herbert Asquith","Winston Churchill","Arthur Balfour"
"politics-l4-492","4","I hvilken år brøt Første verdenskrig ut?","1914","1912","1916","1910"
"politics-l4-493","4","Hvilken revolusjon førte til at kommunistpartiet kom til makten i Russland?","Oktoberrevolusjonen","Februarrevolusjonen","Dekabristrevolusjonen","Mairevolusjonen"
"politics-l4-494","4","Hvem grunnla Sovjetunionen og var første leder?","Vladimir Lenin","Josef Stalin","Leon Trotskij","Nikolaj Lenin"
"politics-l4-495","4","Hvilket år endte Første verdenskrig?","1918","1916","1920","1917"
"politics-l4-496","4","Hvem var tysk kansler fra 1933 til 1945?","Adolf Hitler","Paul von Hindenburg","Ernst Röhm","Hermann Göring"
"politics-l4-497","4","Hvilken fransk general ledet De frie franske styrker under andre verdenskrig?","Charles de Gaulle","Henri Pétain","Maxime Weygand","Ferdinand Foch"
"politics-l4-498","4","Hvilken britisk statsminister ledet landet under Andre verdenskrig?","Winston Churchill","Clement Attlee","Neville Chamberlain","Anthony Eden"
"politics-l4-499","4","Hvem var USAs president da Tyskland invaderte Polen i 1939?","Franklin D. Roosevelt","Herbert Hoover","Harry Truman","Theodore Roosevelt"
"politics-l4-500","4","I hvilket år endte Anden verdenskrig?","1945","1943","1947","1944"
"politics-l4-501","4","Hvilken internasjonal organisasjon ble opprettet i 1945 etter andre verdenskrig?","FN","NATO","EFTA","EEC"
"politics-l4-502","4","Hvem varFirst Lady da USA gikk inn i Første verdenskrig?","Edith Kermit Carow Roosevelt","Eleanor Roosevelt","Florence Kling Harding","Helen Herron Taft"
"politics-l4-503","4","Hvilket år stiftes Den europeiske unionen (ECSC)?","1951","1945","1957","1948"
"politics-l4-504","4","Hvilken amerikansk president igangsatte New Deal under den store depresjonen?","Franklin D. Roosevelt","Herbert Hoover","Warren G. Harding","Calvin Coolidge"
"politics-l4-505","4","I hvilken år ble Norges grunnlov revidert for første gang?","1814","1821","1830","1840"
"politics-l4-506","4","Hvem var en av de viktigste norske nasjonale symbolfigurene på 1800-tallet?","Fridtjov Nansen","Christian Michelsen","Johan Sverdrup","Gunnar Knudsen"
"politics-l4-507","4","Hvilken event utløste starten på Første verdenskrig?","Mordet på Arkehertug Frans Ferdinand","Senkingen av Lusitania","Zimmermann-telegrammet","Invasjonen av Belgien"
"politics-l4-508","4","Hvem var italiensk fascistisk diktator fra 1922 til 1943?","Benito Mussolini","Giovanni Giolitti","Alcide De Gasperi","Giuseppe Garibaldi"
"politics-l4-509","4","Hvilken spansk general styrte Spania fra 1939 til 1975?","Francisco Franco","Emilio Mola","Juan Carlos","Miguel Primo de Rivera"
"politics-l4-510","4","I hvilket år ble Portugal en fristat under Salazar?","1933","1926","1939","1928"
"politics-l4-511","4","Hvilken norsk politiker ledet landet under andre verdenskrig?","Johan Nygaardsvold","Fridtjov Nansen","Christian Michelsen","Gunnar Knudsen"
"politics-l4-512","4","Hvem var konge av Norge under unionen med Sverige?","Karl XIV Johan","Fredrik VI","Oskar I","Gustav III"
"politics-l4-513","4","I hvilken år ble Karl Marx 'Kapitalen' utgitt?","1867","1848","1859","1875"
"politics-l4-514","4","Hvilket amerikansk økonomisk krisis startet i 1929?","Den store depresjonen","Panikkkrisen av 1907","Tulipankrisen","Subprime-krisen"
"politics-l4-515","4","Hvem var sovjetisk leder etter Lenin?","Josef Stalin","Leon Trotskij","Nikolaj Bukharin","Grigory Zinovyev"
"politics-l4-516","4","Hvilken franske konge ble henrettet under den franske revolusjon?","Ludvig XVI","Ludvig XIV","Ludvig XV","Ludvig XVIII"
"politics-l4-517","4","I hvilket år ble Danmark invadet av Tyskland?","1940","1938","1941","1939"
"politics-l4-518","4","Hvem var ledere av imperiet som styrte India før uavhengigheten i 1947?","Britisk riket","Det Tyskland keiserrike","Det austro-ungarske keiserrike","Det osmanske riket"
"politics-l4-519","4","Hvilken norsk kong var det første som styrte Norge etter unionen?","Haakon VII","Oskar II","Karl XIV Johan","Frederik VI"
"politics-l4-520","4","I hvilket år begynte norsk kvinnestemmerett?","1913","1910","1920","1906"
"politics-l4-521","4","Hvem ledete den irske påskeoppstanden i 1916?","Patrick Pearse","Michael Collins","Éamon de Valera","James Connolly"
"politics-l4-522","4","Hvilken år fikk Irland uavhengighet fra Storbritannia?","1922","1916","1921","1926"
"politics-l4-523","4","Hvilken amerikanske president hadde den lengste presidentiell periode?","Franklin D. Roosevelt","George Washington","Thomas Jefferson","Theodore Roosevelt"
"politics-l4-524","4","Hvor mange ganger har Norge hatt kvinnelig statsminister?","3","1","2","4"
"politics-l4-525","4","Hvilken medlem av Storting hadde den lengste kontinuerlige tjeneste i nyere tid?","Ole Vig","Fridtjov Frank Nansen","Carl Joachim Hambro","Gro Harlem Brundtland"
"politics-l4-526","4","Hvilket år var det første kvinnelige statsrådet i Norge ansatt?","1945","1935","1955","1965"
"politics-l4-527","4","Hvor mange år var Margaret Thatcher statsminister av Storbritannia?","11","9","13","15"
"politics-l4-528","4","Hvilken konge av Sverige hadde den lengste regjeringsperiode i moderne tid?","Gustav V","Oscar II","Gustav VI Adolf","Karl XV"
"politics-l4-529","4","Hvor mange presidentvalg hadde USA før kvinner fikk stemmerett?","27","19","23","31"
"politics-l4-530","4","Hvilket år fikk Norges kvinner fulle stemmerettigheter på nasjonalt nivå?","1913","1901","1905","1921"
"politics-l4-531","4","Hvem var den yngste mennesket som noen gang ble valgt til Stortinget?","Kristofer Leek","Trond Giske","Audun Lysbakken","Ketil Solvik-Olsen"
"politics-l4-532","4","Hvor mange borgerkrig har USA opplevd?","1","0","2","3"
"politics-l4-533","4","Hvor mange parlamentsvalg har Norge hatt siden 1900?","28","24","26","30"
"politics-l4-534","4","Hvilken norsk politiker hadde den lengste ministerperiode etter 1945?","Einar Gerhardsen","Jens Stoltenberg","Kjell Magne Bondevik","Erna Solberg"
"politics-l4-535","4","Hvor mange år fra første gang Vladimir Putin ble presidenter av Russland til nå har han styrt?","20+","15-20","10-15","5-10"
"politics-l4-536","4","Hvor mange parlamentsmedlemmer er det i Stortinget etter siste valgomlegging?","169","165","171","157"
"politics-l4-537","4","Hvilket år hadde Norge sitt første direktevalgte fylkesting?","1976","1972","1980","1968"
"politics-l4-538","4","Hvor mange ganger har Norges statsminister vært kvinne i nyere tid?","3","2","4","5"
"politics-l4-539","4","Hvilken amerikanske politiker tjenestgjorde lengst som senator fra samme stat?","Strom Thurmond","Robert Byrd","John McCain","Ted Kennedy"
"politics-l4-540","4","Hvor mange år påfølgende satt Winston Churchill som statsminister?","9","6","12","15"
"politics-l4-541","4","Hvilken norsk politiker har vært statsminister flest ganger?","Einar Gerhardsen","Jens Stoltenberg","Søren Løvtrup","Lars Oftedal"
"politics-l4-542","4","Hvor mange kvinnelige statsministre har Danmark hatt siden 1945?","2","1","3","4"
"politics-l4-543","4","Hvilket år etablerte Norge sitt første kvinnerettighetsutvalg på nasjonalt nivå?","1972","1960","1980","1968"
"politics-l4-544","4","Hvor mange ganger har Sverige hatt kvinnelig statsminister?","1","0","2","3"
"politics-l4-545","4","Hvilken år ble Norge medlem av De forente nasjoner?","1945","1946","1947","1950"
"politics-l4-546","4","Hvor mange år satt Franklin D. Roosevelt som amerikansk president?","12","10","14","8"
"politics-l4-547","4","Hvilken norsk kommune har flest innbyggere og dermed største kommunestyre?","Oslo","Bergen","Stavanger","Trondheim"
"politics-l4-548","4","Hvor mange år av sin karriere var François Mitterrand president av Frankrike?","14","12","16","10"
"politics-l4-549","4","Hvor mange mennesker sitter vanligvis i Norges Regjering?","22","18","25","20"
"politics-l4-550","4","Hvilket år hadde Norge sin første kvinne som utenriksminister?","1986","1980","1992","1978"
"politics-l4-551","4","Hvor mange år har Tyskland vært delt mellom øst og vest (1945-1990)?","45","40","50","35"
"politics-l4-552","4","Hvor mange påfølgende amerikanske presidentvalg vant Ronald Reagan?","2","1","3","4"
"politics-l4-553","4","Hvilket år ble kvinners stemmerett innført i Danmark?","1915","1910","1920","1925"
"politics-l4-554","4","Hvor mange ganger har Jens Stoltenberg vært statsminister av Norge?","2","1","3","4"
"politics-l4-555","4","Hvilken norsk statsminister tjenestegjorde lengst til sammen?","Einar Gerhardsen","Gunnar Knudsen","Johan Ludwig Mowinckel","Fridtjov Nansen"
"politics-l4-556","4","Hvor mange år var det mellom den første og siste gang Jens Otto Krag var statsminister?","11","8","14","6"
"politics-l4-557","4","Hvor mange mennesker er det gjennomsnittlig i Stortingets ufravikelige prasidium?","5","3","7","4"
"politics-l4-558","4","Hvilket år fikk mennesker over 18 år stemmerett i Norge?","1971","1965","1975","1969"
"politics-l4-559","4","Hvor mange år var Ian Smith premiereminister av Rhodesia?","15","12","18","10"
"politics-l4-560","4","Hvem var den eldste personen som noen gang ble valgt til Stortinget?","Carl Joachim Hambro","Christian Michelsen","Fridtjov Nansen","Gunnar Knudsen"
"politics-l4-561","4","Hvor mange ganger har samme person vært både ordfører og fylkesordfører?","Mange","Ingen","Svært få","Aldri"
"politics-l4-562","4","Hvilken tidligere amerikansk president grunnla Peace Corps i 1961?","John F. Kennedy","Dwight D. Eisenhower","Harry S. Truman","Lyndon B. Johnson"
"politics-l4-563","4","Hvilken norsk politiker var statsminister fra 1981 til 1986?","Kåre Willoch","Gro Harlem Brundtland","Erna Solberg","Odd Eirik Jacobsen"
"politics-l4-564","4","Hvem ble valgt som USAs president i 2008?","Barack Obama","John McCain","George W. Bush","Al Gore"
"politics-l4-565","4","Hvilken sydafrikansk leder var fanget på Robben Island i 27 år?","Nelson Mandela","Desmond Tutu","Oliver Tambo","Steve Biko"
"politics-l4-566","4","Hvem var Russlands førsteminister fra 1999 til 2008?","Vladimir Putin","Mikhail Gorbatsjov","Boris Jeltsin","Dmitri Medvedev"
"politics-l4-567","4","Hvilken indisk statsminister ble drept i 1991?","Rajiv Gandhi","Indira Gandhi","Manmohan Singh","Narendra Modi"
"politics-l4-568","4","Hvem grunnla Sinn Féin og var førende irsk revolusjonær?","Éamon de Valera","Michael Collins","Gerry Adams","Seán MacDiarmada"
"politics-l4-569","4","Hvilken italiensk diktator styrte landet fra 1922 til 1943?","Benito Mussolini","Alcide De Gasperi","Silvio Berlusconi","Giuseppe Garibaldi"
"politics-l4-570","4","Hvem var Tysklands forbundskansler fra 1990 til 1998?","Helmut Kohl","Willy Brandt","Gerhard Schröder","Angela Merkel"
"politics-l4-571","4","Hvilken norsk politiker var Nobels fredsprisvinner i 1988?","Fridtjov Nansen","Johan Galtung","Dag Hammarskjöld","Trygve Lie"
"politics-l4-572","4","Hvem var Chiles diktator fra 1973 til 1990?","Augusto Pinochet","Salvador Allende","Patricio Aylwin","Michelle Bachelet"
"politics-l4-573","4","Hvilken tidligere israelsk statsminister forhandlet Oslo-avtalen?","Yitzhak Rabin","Menachem Begin","Shimon Peres","Benjamin Netanyahu"
"politics-l4-574","4","Hvem var Frankrikes president fra 1958 til 1969?","Charles de Gaulle","Georges Pompidou","Jacques Chirac","Valéry Giscard d'Estaing"
"politics-l4-575","4","Hvilken norsk politiker var FN-generalsekretær fra 1971 til 1981?","Waldheim","U Thant","Kurt Waldheim","Javier Pérez de Cuéllar"
"politics-l4-576","4","Hvem var Cubas revolusjonsleder som styrte fra 1959 til 2008?","Fidel Castro","Raúl Castro","Che Guevara","Fulgencio Batista"
"politics-l4-577","4","Hvilken britisk statsminister forhandlet med IRA på 1990-tallet?","Tony Blair","John Major","Margaret Thatcher","Gordon Brown"
"politics-l4-578","4","Hvem var Polen's ledende opposisjonsleder som ble president i 1990?","Lech Wałęsa","Tadeusz Mazowiecki","Wojciech Jaruzelski","Donald Tusk"
"politics-l4-579","4","Hvilken norsk statsminister introduserte konsultasjonsvedtaket?","Johan Nygaardsvold","Gunnar Knudsen","Fridtjov Nansen","Halvdan Koht"
"politics-l4-580","4","Hvem var Australias statsminister under andre verdenskrig?","John Curtin","Robert Menzies","Paul Keating","Ben Chifley"
"politics-l4-581","4","Hvilken tyrkisk leder grunnfestet den moderne tyrkiske staten?","Mustafa Kemal Atatürk","Ismet Inönü","Recep Tayyip Erdoğan","Turgut Özal"
"politics-l4-582","4","Hvem var Grekenlands militærjunta-leder fra 1967 til 1974?","Georgios Papadopoulos","Ioannidis","Nikolaos Plastiras","Alexandros Papagos"
"politics-l4-583","4","Hvilken norsk politiker var Sveriges statsminister?","Ingen norsk politiker var Sveriges statsminister","Gro Harlem Brundtland","Einar Gerhardsen","Kåre Willoch"
"politics-l4-584","4","Hvem ledet den danske motstandsbevegelsen under andre verdenskrig?","Frode Jakobsen","Aksel Larsen","Kaj Ulrik Lindeström","Viggo Mollerup"
"politics-l4-585","4","Hvilken portusgisisk diktator styrte fra 1932 til 1968?","António de Oliveira Salazar","Marcelo Caetano","Raúl Brandão","Mário Soares"
"politics-l4-586","4","Hvem var Japans statsminister under andre verdenskrig?","Hideki Tojo","Isoroku Yamamoto","Shigenori Togo","Nobusuke Kishi"
"politics-l4-587","4","Hvilken mexicansk leder var president fra 1976 til 1982?","José López Portillo","Luis Echeverría","Miguel de la Madrid","Carlos Salinas de Gortari"
"politics-l4-588","4","Hvilken brasiliansk militærleder styrte fra 1964 til 1985?","Humberto Castelo Branco","Ernesto Geisel","João Figueiredo","Fernando Henrique Cardoso"
"politics-l4-589","4","Hvem var Danmarks kong under anden verdenskrig?","Christian X","Frederik VIII","Christian IX","Frederik IX"
"politics-l4-590","4","Hvilken argentinsk diktator styrte fra 1976 til 1983?","Jorge Rafael Videla","Juan Domingo Perón","Raúl Alfonsín","Carlos Menem"
"politics-l4-591","4","Hvem var Norges könig under første verdenskrig?","Haakon VII","Oscar II","Gustav V","Christian X"
"politics-l4-592","4","Hvilken belgisk konge abdiserte i 1951?","Leopold III","Albert I","Baudouin I","Philippe"
"politics-l4-593","4","Hvem var Spains diktator fra 1939 til 1975?","Francisco Franco","Miguel Primo de Rivera","Juan Carlos I","Adolfo Suárez"
"politics-l4-594","4","Hvilken norsk politiker stiftet Arbeidepartiet?","Kyrre Grepp","Einar Gerhardsen","Halvdan Koht","Johan Nygaardsvold"
"politics-l4-595","4","Hvem var den første presidenten av det uavhengige Israels?","Chaim Weizmann","David Ben-Gurion","Theodor Herzl","Ze'ev Jabotinsky"
"politics-l4-596","4","Hvilken norsk politiker var leder av Nasjonal Samling?","Vidkun Quisling","Abraham Berntsen","Christian Lundemann","Gunnar Ropstad"
"politics-l4-597","4","Hvem var Indias første statsminister?","Jawaharlal Nehru","Indira Gandhi","Rajesh Pilot","Sardar Vallabhbhai Patel"
"politics-l4-598","4","Hvilken sydkoreansk diktator styrte fra 1961 til 1979?","Park Chung-hee","Syngman Rhee","Chun Doo-hwan","Roh Tae-woo"
"politics-l4-599","4","Hvem var Bangladeshs første statsminister?","Sheikh Mujibur Rahman","Ziaur Rahman","Khaleda Zia","Huseina Wazed"
"politics-l5-600","5","Hvilken kongelig familie styrte Frankrike under 'Det gamle regime'?","Bourbonene","Valois","Capetingerne","Anjou"
"politics-l5-601","5","I hvilken år ble Norges union med Sverige oppløst?","1905","1904","1906","1903"
"politics-l5-602","5","Hvem var Storbritannias primer minister under Første verdenskrig?","David Lloyd George","Herbert Asquith","Winston Churchill","Andrew Bonar Law"
"politics-l5-603","5","I hvilket år ble Russland kommunistisk etter Oktoberrevolusj­onen?","1917","1916","1918","1919"
"politics-l5-604","5","Hvem var leder av Sovjet­unionen under andre verdenskrig?","Josef Stalin","Nikolaj Lenin","Leon Trotskij","Nikolaj Bulganin"
"politics-l5-605","5","I hvilket år ble Tyskland delt inn i Øst- og Vest-Tyskland?","1949","1945","1950","1948"
"politics-l5-606","5","I hvilket år ble Berlinmuren bygget?","1961","1959","1963","1960"
"politics-l5-607","5","Hvem grunnla det sovjetiske systemet som førstetat?","Vladimir Lenin","Josef Stalin","Leon Trotskij","Mikhail Gorbatsjov"
"politics-l5-608","5","I hvilket år startet den amerikanske borgerkrigen?","1861","1859","1863","1860"
"politics-l5-609","5","Hvem var presidenten av USA under den store depresjonen?","Franklin D. Roosevelt","Herbert Hoover","Harry S. Truman","Warren G. Harding"
"politics-l5-610","5","I hvilken år ble India uavhengig fra Storbritannia?","1947","1945","1948","1946"
"politics-l5-611","5","Hvem var lederen av Indias uavhengighetsbevegelse?","Mahatma Gandhi","Jawaharlal Nehru","Sardar Vallabhbhai Patel","Muhammad Ali Jinnah"
"politics-l5-612","5","Hvem var Tyskland's fører under nazitiden?","Adolf Hitler","Hermann Göring","Joseph Goebbels","Heinrich Himmler"
"politics-l5-613","5","I hvilket år endte Anden verdenskrig i Europa?","1945","1944","1946","1943"
"politics-l5-614","5","Hvem var Norges førstepremierminister?","Christian Magnus Falsen","Johan Sverdrup","Fridtjov Nansen","Gunnar Knudsen"
"politics-l5-615","5","I hvilket år ble kvinners valgrett innført i Norge?","1913","1911","1915","1910"
"politics-l5-616","5","Hvem var den første påven i Vatikanstaten?","Pius XI","Pius X","Benedict XV","Leo XIII"
"politics-l5-617","5","I hvilket år ble Forente Nasjoner opprettet?","1945","1944","1946","1943"
"politics-l5-618","5","Hvem var lederen av Kina under den kulturelle revolusjonen?","Mao Zedong","Deng Xiaoping","Zhou Enlai","Jiang Qing"
"politics-l5-619","5","I hvilket år ble Israels stat opprettet?","1948","1947","1949","1946"
"politics-l5-620","5","Hvem var den første presidenten i Israel?","Chaim Weizmann","David Ben-Gurion","Moshe Sharett","Levi Eshkol"
"politics-l5-621","5","I hvilket år ble Sovjet­unionen oppløst?","1991","1990","1992","1989"
"politics-l5-622","5","Hvem var siste leder av Sovjet­unionen før den ble oppløst?","Mikhail Gorbatsjov","Leonid Brezhnev","Yuri Andropov","Konstantin Chernenko"
"politics-l5-623","5","I hvilket år ble Kina erobret av kommunistene under Mao?","1949","1948","1950","1947"
"politics-l5-624","5","Hvem var Japans leder under andre verdenskrig?","Hideki Tojo","Isoroku Yamamoto","Tomoyuki Yamashita","Masaharu Homma"
"politics-l5-625","5","I hvilket år startet Koreakrigen?","1950","1949","1951","1948"
"politics-l5-626","5","Hvem var Tysklands forbundskansler under gjenforeningen?","Helmut Kohl","Willy Brandt","Helmut Schmidt","Konrad Adenauer"
"politics-l5-627","5","Hvem var USAs presidenten under Cubakrisen?","John F. Kennedy","Dwight Eisenhower","Lyndon B. Johnson","Richard Nixon"
"politics-l5-628","5","I hvilket år startet Vietnamkrigen?","1955","1954","1956","1953"
"politics-l5-629","5","Hvem var Storbritannias premierminister under Falklandskrigen?","Margaret Thatcher","James Callaghan","Harold Macmillan","Edward Heath"
"politics-l5-630","5","I hvilket år ble apartheid offisielt avskaffet i Sør-Afrika?","1994","1992","1995","1993"
"politics-l5-631","5","I hvilket år ble Håkon VII konge av Norge?","1905","1904","1906","1903"
"politics-l5-632","5","Hvem var Frankrikes presidenten under Anden verdenskrig?","Philippe Pétain","Charles de Gaulle","Paul Reynaud","Édouard Daladier"
"politics-l5-633","5","Hvem er den nåværende statsministeren i Sverige?","Ulf Kristersson","Stefan Löfven","Fredrik Reinfeldt","Carl Bildt"
"politics-l5-634","5","I hvilket år ble Norge medlemmer av FN?","1945","1948","1951","1950"
"politics-l5-635","5","Hvem grunnla det moderne Storbritannien som et kongedømme?","Wilhelm Erobreren","Richard Løvehjerte","Henrik VIII","Edward I"
"politics-l5-636","5","I hvilket år ble menneskerettighetserklæringen vedtatt av FN?","1948","1945","1950","1952"
"politics-l5-637","5","Hva er hovedstaden i Tyskland?","Berlin","München","Hamburg","Frankfurt"
"politics-l5-638","5","Hvor mange ganger har Norge vært president i FNs sikkerhetsråd de siste 20 årene?","4","2","3","5"
"politics-l5-639","5","I hvilket år fikk Kvinnene stemmerett i Norge?","1913","1898","1920","1905"
"politics-l5-640","5","Hva er hovedstaden i Frankrike?","Paris","Lyon","Marseille","Toulouse"
"politics-l5-641","5","Hvor mange medlemsland har EU?","27","28","26","25"
"politics-l5-642","5","Hvem var Norges første regjering etter unionen med Sverige ble oppløst?","Christian Michelsen","Fridtjov Nansen","Gunnar Knudsen","Johan Sverdrup"
"politics-l5-643","5","Hva er hovedstaden i Italia?","Roma","Milano","Venezia","Napoli"
"politics-l5-644","5","Hvor mange dager har en parlamentarisk periode i Norge normalt?","1460","1095","1825","1200"
"politics-l5-645","5","Hvem grunnla Den amerikanske føderalismen?","James Madison","Alexander Hamilton","Benjamin Franklin","John Jay"
"politics-l5-646","5","I hvilket år ble Europarådet etablert?","1949","1945","1951","1948"
"politics-l5-647","5","Hva er hovedstaden i Spania?","Madrid","Barcelona","Sevilla","Valencia"
"politics-l5-648","5","Hvor mange ganger har Norge ratifisert FN-paktene?","2","1","3","4"
"politics-l5-649","5","Hvem var den første kvinnelige statsministeren i Norge?","Gro Harlem Brundtland","Erna Solberg","Kristin Clemet","Laila Bokhari"
"politics-l5-650","5","Hva er hovedstaden i Polen?","Warszawa","Kraków","Gdańsk","Poznań"
"politics-l5-651","5","Hvor mange timer må Stortinget møtes minimum per år ifølge Grunnloven?","8","4","12","6"
"politics-l5-652","5","Hvem grunnla NATO i 1949?","12 europeiske og nordamerikanske land","8 europeiske land","15 vestlige land","9 land fra Nord-Atlanteren"
"politics-l5-653","5","I hvilket år ble menneskerettighetserklæringen underskrevet i Norge?","1948","1945","1950","1952"
"politics-l5-654","5","Hva er hovedstaden i Tsjekkia?","Praha","Brno","Ostrava","Plzeň"
"politics-l5-655","5","Hvor mange borgerkrig var det i USA i det 19. århundre?","1","2","3","4"
"politics-l5-656","5","Hvem var den første presidenten i Frankrike under Den femte republikk?","Charles de Gaulle","Georges Pompidou","Valéry Giscard d'Estaing","François Mitterrand"
"politics-l5-657","5","I hvilket år ble Komitern grunnlagt i Sovjetunionen?","1919","1917","1921","1923"
"politics-l5-658","5","Hva er hovedstaden i Hellas?","Athen","Thessaloniki","Patras","Larissa"
"politics-l5-659","5","Hvor mange medlemmer har Europarådet?","46","27","50","44"
"politics-l5-660","5","Hvem var den første kongfreden i Norge etter Grunnloven?","Karl XIV Johan","Frederik VI","Oskar I","Karl XV"
"politics-l5-661","5","I hvilket år ble Apartheid-systemet avskaffet i Sør-Afrika?","1994","1989","1991","1996"
"politics-l5-662","5","Hva er hovedstaden i Portugal?","Lisboa","Porto","Covilhã","Setúbal"
"politics-l5-663","5","Hvor mange dager varer et ordinært møte av Generalforsamlingen i FN?","12 uker","8 uker","16 uker","10 uker"
"politics-l5-664","5","Hvem var den første kansler i Tyskland etter murens fall?","Helmut Kohl","Gerhard Schröder","Angela Merkel","Hans-Dietrich Genscher"
"politics-l5-665","5","Hva er hovedstaden i Ungarn?","Budapest","Debrecen","Szeged","Pécs"
"politics-l5-666","5","Hvor mange år var Franklin D. Roosevelt president av USA?","12 år","8 år","10 år","16 år"
"politics-l5-667","5","Hvilket år ble kvinners stemmerett innført i Norge?","1913","1901","1920","1906"
"politics-l5-668","5","Hvor mange ganger har Margaret Thatcher blitt valgt som statsminister?","3 ganger","2 ganger","4 ganger","5 ganger"
"politics-l5-669","5","Hvor mange år var Nelson Mandela president av Sør-Afrika?","5 år","8 år","10 år","3 år"
"politics-l5-670","5","Hvor mange medlemmer er det i Europaparlamentet?","705","678","750","682"
"politics-l5-671","5","I hvilket år fikk USA sitt første afroamerikanske president?","2008","2004","2012","2000"
"politics-l5-672","5","Hvor mange år var Winston Churchill statsminister av Storbritannia totalt?","9 år","7 år","11 år","6 år"
"politics-l5-673","5","Hvilket år ble Norge medlem av FN?","1945","1947","1948","1950"
"politics-l5-674","5","Hvor mange presidentvalg har vært avholdt i Frankrike siden 1965?","17","15","19","14"
"politics-l5-675","5","Hvor mange medlemmer har Kina sitt nasjonale folkekongress?","2952","2890","3000","2800"
"politics-l5-676","5","I hvilket år ble kvinners stemmerett innført i Sveits?","1971","1945","1960","1975"
"politics-l5-677","5","Hvor mange år var Ronald Reagan president av USA?","8 år","6 år","12 år","10 år"
"politics-l5-678","5","Hvor mange stater var med da USA ble grunnlagt i 1776?","13","10","15","11"
"politics-l5-679","5","Hvor mange år var Angela Merkel kansler av Tyskland?","16 år","12 år","18 år","14 år"
"politics-l5-680","5","Hvor mange medlemmer har Replikken Indias parlament?","799","750","850","780"
"politics-l5-681","5","Hvor mange år var Fidel Castro leder av Cuba?","49 år","45 år","52 år","47 år"
"politics-l5-682","5","I hvilket år fikk Australia kvinners stemmerett på nasjonalt nivå?","1902","1898","1910","1895"
"politics-l5-683","5","Hvor mange medlemmer har det brasilianske senatet?","81","90","75","85"
"politics-l5-684","5","I hvilket år ble Berlin-muren bygget?","1961","1958","1965","1960"
"politics-l5-685","5","Hvor mange år var Benito Mussolini leder av Italia?","21 år","18 år","24 år","19 år"
"politics-l5-686","5","I hvilket år ble Sør-Afrika en demokrati?","1994","1990","1998","1992"
"politics-l5-687","5","Hvor mange år var Otto von Bismarck kansler av Tyskland?","19 år","16 år","22 år","21 år"
"politics-l5-688","5","Hvor mange medlemmer har det tyske Bundestagget?","630","600","660","620"
"politics-l5-689","5","I hvilket år oppløste Sovjet-Unionen seg?","1991","1989","1993","1990"
"politics-l5-690","5","Hvor mange år var Leonid Bresjnev leder av Sovjet-Unionen?","18 år","15 år","21 år","16 år"
"politics-l5-691","5","Hvor mange medlemmer har det kanadiske parlamentet?","338","330","350","325"
"politics-l5-692","5","I hvilket år ble Tysklands del oppløst og landet samlet?","1990","1988","1992","1989"
